n,m,bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
24,52,6,0,5,32,25,2,FractionalAllocation,49,190,23.91428571,0.69518797,0.258299595,0.182591093,0.626592948,7.480811522,0.201217323,0.147270344,8.092850026,0.058230194,0.048451827,7.276798687,0.234736582,0.185822189,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,0,197,26.75357143,0.656073241,0.301542366,0.220031238,0.657875933,7.983342009,0.143527767,0.103207093,8.062965965,0.151214234,0.108052766,7.585222231,0.067927302,0.056458244,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,1,190,26.57857143,0.681165414,0.296761134,0.221052632,0.62014229,7.984007772,0.214386325,0.153666539,8.352086541,0.190317706,0.137426079,7.247850234,0.251426993,0.180606493,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,2,188,28.25,0.679521277,0.30707856,0.218903437,0.615335059,8.095450742,0.199849095,0.145242342,8.21460432,0.166259008,0.114530361,7.896861447,0.237284015,0.196253185,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,3,194,24.48571429,0.677908689,0.293417922,0.214115781,0.643944132,7.866280667,0.210997384,0.149371974,7.851300657,0.202436429,0.143258204,7.911220698,0.224522161,0.167889952,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,4,191,28.37857143,0.668175019,0.323902537,0.231171969,0.625550173,8.126221079,0.158673457,0.112299823,8.496888788,0.145350145,0.106358721,7.014217951,0.166090303,0.12505221,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,5,192,29.02857143,0.661309524,0.32431891,0.237580128,0.612003507,8.194519477,0.174091784,0.110284494,8.20741928,0.148111384,0.095867062,8.163191383,0.213444346,0.144724117,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,6,191,25.35,0.684031414,0.285440999,0.210229561,0.643387009,7.831447501,0.183370924,0.132790081,7.925225732,0.224126161,0.171045496,7.700157977,0.103525839,0.076812677,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,7,196,29.33571429,0.646246356,0.315541601,0.224097331,0.633504455,8.258214405,0.180610272,0.124355982,8.468920498,0.160471007,0.103647814,7.746499609,0.197548538,0.1561944,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
24,52,6,0,5,32,75,2,FractionalAllocation,8,197,29.15714286,0.643872371,0.326337368,0.238188208,0.650382173,8.346426915,0.157425412,0.104691251,8.495493115,0.16031108,0.106047429,7.601095916,0.120979372,0.104073824,.//cost_matrices//cost_matrix_m52_n24.json,.//cost_matrices//quota_matrix_m52_n24.json,greedy_(fb)_m52_n24_seq.json
