#step,#updates,reviewer id,bidder selected,paper id,private_cost,previous demand,new demand,price,seen price,total seen price,previous bid,bid,allocation,realized cost,total bid,total price,total realized cost,unallocated_amount_step_2,matching output json file
30,0,1,True,0,2.2939739979772655,0.0,5.0,0.6,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,1,3.1758121125751035,0.0,4.0,0.75,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,2,2.9750141281763347,0.0,1.0,1,1,5.0,0.0,0.0,0.09098502304147467,0.2706817290008365,5.0,2.314285714285714,13.550266084473622,2.0,simulation_2019-07-23T10-28-42
30,0,1,True,3,5.703526456330733,0.0,6.0,0.5,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,4,4.448739719221551,0.0,2.0,1,1,5.0,0.0,0.0,0.045492511520737335,0.2023843429294482,5.0,2.314285714285714,13.550266084473622,1.0,simulation_2019-07-23T10-28-42
30,0,1,True,5,7.284687147892202,0.0,2.0,1,1,5.0,0.0,0.0,0.045492511520737335,0.33139871400045323,5.0,2.314285714285714,13.550266084473622,1.0,simulation_2019-07-23T10-28-42
30,0,1,True,6,0.28354640146431953,0.0,14.0,0.21428571428571427,1,5.0,0.0,1.0,0.21428571428571427,0.06075994317092561,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,7,1.046299354935548,0.0,4.0,0.75,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,8,2.3925053617368883,0.0,1.0,1,1,5.0,0.0,0.0,0.09098502304147467,0.21768215546448247,5.0,2.314285714285714,13.550266084473622,2.0,simulation_2019-07-23T10-28-42
30,0,1,True,9,4.335297516615424,0.0,4.0,0.75,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,10,2.114853325211046,0.0,0.0,1,1,5.0,0.0,0.0,0.136477534562212,0.28862996778549954,5.0,2.314285714285714,13.550266084473622,3.0,simulation_2019-07-23T10-28-42
30,0,1,True,11,7.590233299723895,0.0,1.0,1,1,5.0,0.0,0.0,0.09098502304147467,0.6905975516655469,5.0,2.314285714285714,13.550266084473622,2.0,simulation_2019-07-23T10-28-42
30,0,1,True,12,0.515902951894809,0.0,5.0,0.6,1,5.0,0.0,1.0,0.6,0.30954177113688536,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,13,7.794352503862353,0.0,8.0,0.375,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,14,1.3993899662268077,0.0,5.0,0.6,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,15,4.731626355408953,0.0,2.0,1,1,5.0,0.0,0.0,0.045492511520737335,0.21525356648526622,5.0,2.314285714285714,13.550266084473622,1.0,simulation_2019-07-23T10-28-42
30,0,1,True,16,6.516617850863249,0.0,4.0,0.75,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,17,0.7962456472675853,0.0,9.0,0.3333333333333333,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,18,0.0,0.0,3.0,1,1,5.0,0.0,0.0,0.0,0.0,5.0,2.314285714285714,13.550266084473622,0.0,simulation_2019-07-23T10-28-42
30,0,1,True,19,5.868926977474096,0.0,1.0,1,1,5.0,0.0,0.0,0.09261417357461686,0.5435458217885375,5.0,2.314285714285714,13.550266084473622,2.0,simulation_2019-07-23T10-28-42
