Bidder,Paper,Private Cost,Step 1 Allocation,Step 2 Allocation,Step 3 Allocation,Social Cost,Total Social Cost,Total Unallocated Papers,Preference File,Market Mechanism,Behavior,Algorithm,Private Price Generator
-1,45,1,-1,-1,0.0828571428571423,0.0828571428571423,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,46,1,-1,-1,0.07157707157707183,0.07157707157707183,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,47,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,48,1,-1,-1,0.0884899006091695,0.0884899006091695,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,49,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,50,1,-1,-1,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
-1,51,1,-1,-1,4.440892098500626e-16,4.440892098500626e-16,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,0,0.8836983309376643,0.0,0.0,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,1,2.395199686384609,0.0,0.0,0.09254974548819991,0.22167512136831183,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
0,2,2.2498588172599767,0.0,0.0,0.0,0.0,234.8635232560607,1.9189563680422692,bids_m52_n24.txt,FixedMechanism,SincereIntegralBehavior,FractionalAllocation,SimplePrivatePricesGenerator
