n,m,bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
24,52,6,0,5,32,10,2,Utilitarian,3,174.0,-52.0,-7.172413793103448,0.2583996463306808,0.1951812555260831,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,13.81031275845982,0.2623696314740454,0.2111464958409458,15.183497714748775,0.24791176873906953,0.18499312313539867,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,10,2,RankMaximal,3,174.0,-52.0,-7.172413793103448,0.2583996463306808,0.1951812555260831,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,15.633645528981367,0.03337697613113194,0.029090430706489968,17.589708285226827,0.24885190618429842,0.17545613440019106,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,10,2,FractionalAllocation,4,168.0,28.65,0.7580357142857143,0.2690018315018315,0.20238095238095238,0.5602106105903709,7.805006345018104,0.2352211163252078,0.174935717323919,5.153833617080392,0.24046236791751205,0.17232079185742288,8.335240890605647,0.2108456446047424,0.15609064407572842,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,10,2,Utilitarian,4,168.0,-52.0,-7.428571428571429,0.2690018315018315,0.20238095238095238,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,14.37549680990999,0.20002158738602377,0.15145108183747225,15.139120152273188,0.259317395719878,0.1904618753912816,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,10,2,RankMaximal,4,168.0,-52.0,-7.428571428571429,0.2690018315018315,0.20238095238095238,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,13.466389230889789,0.32778458171227964,0.2824542518954516,18.120962682657414,0.1996102540390973,0.13683251571845764,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,25,2,FractionalAllocation,0,175.0,25.650000000000002,0.744857142857143,0.24868131868131868,0.18725274725274724,0.6313304650875065,7.72894990006408,0.1957103733036463,0.13804168804899491,7.311324717874712,0.12407131271202107,0.0865864859745667,7.868158294127203,0.2119216546852835,0.15411886630784824,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,25,2,Utilitarian,0,175.0,-52.0,-7.131428571428572,0.24868131868131868,0.18725274725274724,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,14.109717639037287,0.17660497872770892,0.14089029289733596,15.312560247271108,0.26760821513064226,0.2048117928168252,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,25,2,RankMaximal,0,175.0,-52.0,-7.131428571428572,0.24868131868131868,0.18725274725274724,3.4576295698990376,17.345200440696143,0.23428147605371188,0.16239360177982043,14.838735412241904,0.07345460479899239,0.06360391029793566,18.180688783514224,0.25650960682724955,0.1823452231158029,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,25,2,FractionalAllocation,1,173.0,32.0,0.7167630057803468,0.30913739439751,0.23410404624277456,0.5842922503266345,8.369008913613811,0.17939300064227773,0.13218927075861647,7.353567613265571,0.12029488047949752,0.08525740134452431,8.87672956378793,0.18682571421517088,0.1415346508337444,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
24,52,6,0,5,32,25,2,Utilitarian,1,173.0,-52.0,-7.213872832369942,0.30913739439751,0.23410404624277456,3.4576295698990376,15.011849595212652,0.25308143101902686,0.1856486889983741,15.866870575901917,0.21291900552411983,0.16853242870336832,14.584339104868022,0.26741495512030955,0.1936793347267842,.//cost_matrices//cost_matrix_sep.json,.//cost_matrices//quota_matrix_sep.json,greedy_2_(fb)_m52_n24.json
