bidding requirement,forced permutations,number of bids until prices update,total bids until closure,fallback probability,price weight,matching algorithm,sample index,total bids,total_excess_papers,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
3.8,0,5,290,25,2,FractionalAllocation,2,1005.0,-176.0,0.3652363184079602,0.2580223880597015,0.95824902244895,5.7930137436070765,0.2756739965015245,0.19936986915983534,6.88045431760295,0.20226625820603159,0.14767822895683766,5.368394090903927,0.29070974009023726,0.2056465689036025,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,25,2,FractionalAllocation,3,1019.0,-176.0,0.37781581764653405,0.2690750736015702,0.9582129180203873,5.816158888774898,0.28029099915132766,0.19961441964027496,7.029656495046227,0.20884835217949826,0.14553813130500393,5.326092547780707,0.2991594853916101,0.21580718505464103,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,25,2,FractionalAllocation,4,994.0,-176.0,0.3739825315529541,0.2673769892079751,0.9341084145576585,5.905599348854795,0.29346702351555704,0.21150365043386077,7.208597957621829,0.20918923461696254,0.14967503779044777,5.494743931676001,0.31022547008867307,0.2222539136440042,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,50,2,FractionalAllocation,0,977.0,-176.0,0.3844619428677771,0.2730471294314693,0.8989856451097784,5.882696856611466,0.2878839908247198,0.20655785401098822,6.6897215707816455,0.22204983228557343,0.15771725540640777,5.006498595512415,0.33929045914701705,0.2410387752902446,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,50,2,FractionalAllocation,1,969.0,-176.0,0.38350806829908995,0.27459775776339246,0.9219523322896805,5.888716170654808,0.26925545361638814,0.19302525987656746,7.004005841092947,0.19882098467879009,0.14513400831623832,4.77342650021667,0.30511835262363,0.2166330899951972,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,50,2,FractionalAllocation,2,961.0,-176.0,0.3825619619714313,0.27097128937659637,0.9274478725381097,5.938356424389085,0.2561989708900777,0.18234241518835467,6.421818736605098,0.2276228523790973,0.1635653119696846,5.183476673736013,0.2770966497787275,0.19022169048453705,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,50,2,FractionalAllocation,3,978.0,-176.0,0.38941950176612755,0.27643381669455286,0.9345496375734516,5.964943859914188,0.25801874400115515,0.18783440357059386,6.797299672779116,0.21548480560107747,0.15490147497430393,5.367606158917003,0.272755400429805,0.1936373013278062,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,50,2,FractionalAllocation,4,987.0,-176.0,0.3884302753983605,0.27841484756378376,0.8995580830337585,5.880847013019854,0.2942436107503559,0.211057947060592,6.77107162287254,0.2224260486276275,0.15581579152900882,5.014682527757781,0.3404120343236447,0.23923403656638884,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,75,2,FractionalAllocation,0,920.0,-176.0,0.39024209486166006,0.27633399209486165,0.8686471613602426,5.959317569303215,0.26401781243116573,0.18979612132681883,6.31544640336189,0.23632027564019964,0.1683345043046177,4.947161935662773,0.3178395991694978,0.2335584229614454,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
3.8,0,5,290,75,2,FractionalAllocation,1,927.0,-176.0,0.38971633813866824,0.27735485927233494,0.8647601533441202,5.886443233447189,0.2592299255429625,0.18633678264826917,6.374340792599099,0.21328838266170613,0.15242959910902715,4.6783159441186495,0.35402102212522735,0.265694257925412,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,sincere_(fb)_m176_n146.json
