n,m,bidding requirement,forced_permutations,number_of_bids_until_prices_update,total_bids_until_closure,fallback_probability,sample index,total bids,total_excess_papers,allocated_papers_per_bid,gini_paper_bids,hoover_paper_bids,average_cost_per_step_2_paper,average_bidder_cost,gini_bidder_cost,hoover_bidder_cost,average_fallback_bidder_cost,gini_fallback_bidder_cost,hoover_fallback_bidder_cost,average_main_bidder_cost,gini_main_bidder_cost,hoover_main_bidder_cost,cost matrix used,quota matrix used,input json file used
146,176,3.5,0,20,290,10,4,824.0,62.79694597639806,0.5645668131354393,0.23139618270079435,0.16979258605472197,0.9109266934236915,4.985862612971019,0.3024994912370745,0.2202787570546369,4.644718608453244,0.28150792365298055,0.22038361684763472,5.027849567373206,0.304044310999511,0.22085798597732129,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,5,843.0,51.44977168949774,0.5653027619341664,0.21784347029008952,0.15855170926345302,0.9324338048213291,4.727341523855808,0.29105012161602417,0.2108461663805599,3.667894275895482,0.23828614535855197,0.18358581456034898,4.8136668551710935,0.29083714219614215,0.20980258487678533,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,6,837.0,57.43364614837219,0.5622059185802005,0.2302663734115347,0.1682347670250896,0.9158752798644629,4.848688670372388,0.28379338040120883,0.21028960667313099,4.663277449297071,0.26803080281796565,0.21243054240834458,4.871508512966273,0.28503019340915425,0.21013961223080582,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,7,833.0,58.03653161906588,0.5641818347910373,0.2338821892393321,0.1717027720178981,0.9227944745370917,4.885332354572588,0.28297899341284805,0.20327624196361327,4.377653745764335,0.23592231183429807,0.17978511201208242,4.926698759734743,0.28511429861812654,0.20603728301606788,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,8,820.0,62.321213603747864,0.5679009590198196,0.23648835920177383,0.17017738359201776,0.9137812439173844,5.0069785329556815,0.28259921221630624,0.2062866281366227,4.524957748515624,0.25477959003157996,0.19095739770295744,5.0501445733532995,0.28395487454502055,0.20708731567073033,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,9,814.0,66.53130225938446,0.5669148620892083,0.24438798302434667,0.17736486486486486,0.8788971001224993,4.987228596018527,0.29820127532062923,0.21805710986613044,5.404149365913388,0.23927936704802014,0.17702053845049373,4.943009726484223,0.303794767345965,0.22334172512701356,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,10,835.0,57.6436636422938,0.5633010016259955,0.23023271638541098,0.1655348394120849,0.9131729048657794,4.865695756682716,0.30420539300767685,0.22097801079199564,4.298924321607479,0.22708347701833367,0.16217169700104295,4.935452240999668,0.30983457990493374,0.22730910874630797,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,11,776.0,68.07859811421457,0.5926822189249813,0.250424671977507,0.1808809746954077,0.8826101095716622,5.034074865592972,0.28762140576649114,0.20731483808547166,4.067286125763452,0.2911087141270972,0.22762129920649454,5.153064248956605,0.2841069202841594,0.20434174527114984,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,12,808.0,60.272416966595074,0.5788707710809466,0.23859417191719173,0.1746174617461746,0.8995589684613196,4.903435966879049,0.3113232437131348,0.22940763527653915,4.872902016282903,0.2972943924909454,0.22497236187976946,4.906420488365891,0.31198010754142175,0.22994268580417693,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,13,823.0,58.24324260214672,0.570785853460332,0.21844278139843146,0.1590978128797084,0.9179190174406742,4.878304556487078,0.275765189689785,0.20310188794876402,3.9198144100069907,0.29607977129128543,0.23233804390240415,5.00461721144957,0.2696408507271469,0.19994966050703034,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,14,822.0,60.109158763610836,0.5692102691440257,0.23205596107055962,0.16874032293740324,0.9210658303991353,4.941019730912139,0.27819399907587183,0.20370153634682941,4.182435519730434,0.24702757837255185,0.18606291876533443,5.021475632098077,0.2787466825471114,0.20430934389072278,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,15,811.0,53.48326217161835,0.5851007864714941,0.2279102679071853,0.16625798677278336,0.9104353922884867,4.742778347924869,0.2760595129007115,0.2006591550516864,4.656737200148102,0.18377488223290278,0.13358703753319362,4.751188384925604,0.28342582715468756,0.20699363279978092,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,16,827.0,57.21428719682146,0.5692693020594662,0.21808700670550732,0.1567068813894691,0.918485964352824,4.868437243256052,0.2651766042270514,0.18734398563194582,4.556162902873191,0.22299559504991706,0.1666539628077396,4.9123508223723915,0.26969510892836557,0.1900388707858065,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,17,814.0,63.512699401055585,0.5706232194090226,0.23007873576055393,0.16722972972972974,0.9030936435916964,5.007650618755803,0.2891148614387564,0.21106044518157988,5.5769044438692825,0.1344718843338592,0.09447565657452846,4.956672664268028,0.2998927502511953,0.22288532849551582,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,18,774.0,66.26312044120264,0.5965592759157587,0.23345372327930466,0.16842847075405215,0.8587982082335086,4.937451548224484,0.30351672037246313,0.22380490788627305,4.608784712930659,0.17158508130066372,0.1373750618338062,4.954003115469497,0.3080239128577552,0.22766590442734896,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,19,816.0,54.53067514677106,0.5802320157515061,0.21926526292335116,0.15886809269162208,0.916135814869341,4.786954306369026,0.2915483153130902,0.21156320202195833,3.7329848071512166,0.24807353275511151,0.19518091478743227,4.881339634657189,0.2911260989713242,0.2125624117197664,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
146,176,3.5,0,20,290,10,20,815.0,59.03847362682981,0.5754129157953008,0.22595510317902956,0.16327384272169548,0.922315337366917,4.915520272302238,0.2658772833050775,0.1951956481784904,5.019944689466221,0.2436591750023431,0.179753826290124,4.903563277970483,0.26802260637005393,0.19672674749833788,.//cost_matrices//cost_matrix_m176_n146.json,.//cost_matrices//quota_matrix_m176_n146.json,greedy_2_(fb)_m176_n146.json
